variant,model,MCC_full_expert,MCC_full_rulebased,F1_macro,ROC_AUC
baseline,GaussianNB,0.31885210782848317,0.2956474376811127,0.559640522875817,0.5625
baseline,LogReg,0.664852604347194,0.31476413747390275,0.8025641025641026,0.923155737704918
baseline,LinearSVC,0.8795846374833629,0.27067525048612306,0.939417781274587,0.9948770491803278
baseline,Baseline,0.0,0.0,0.4420289855072464,0.5
A1_no_L2,GaussianNB,0.31885210782848317,0.2956474376811127,0.559640522875817,0.5625
A1_no_L2,LogReg,0.8800079900205452,0.24255538756437853,0.9362758620689655,0.9795081967213115
A1_no_L2,LinearSVC,0.9204467514322717,0.2965414083452099,0.9586021505376344,0.9969262295081966
A1_no_L2,Baseline,0.0,0.0,0.4420289855072464,0.5
A2_no_sample_weight,GaussianNB,0.6456092994669763,0.16268156697199718,0.8187382297551788,0.9200819672131149
A2_no_sample_weight,LogReg,0.0,0.0,0.4420289855072464,0.9108606557377048
A2_no_sample_weight,LinearSVC,0.31885210782848317,-0.09019752336033947,0.559640522875817,0.985655737704918
A2_no_sample_weight,Baseline,0.0,0.0,0.4420289855072464,0.5
A3_no_extended_tokenizer,GaussianNB,0.31885210782848317,0.2956474376811127,0.559640522875817,0.5625
A3_no_extended_tokenizer,LogReg,0.7543406728702017,0.2430268183976123,0.8611778846153846,0.9108606557377049
A3_no_extended_tokenizer,LinearSVC,0.9204467514322717,0.2965414083452099,0.9586021505376344,0.9795081967213115
A3_no_extended_tokenizer,Baseline,0.0,0.0,0.4420289855072464,0.5
